timestamp,code,name,price,change,change_pct,volume,open,high,low,prev_close
2026-02-09T04:07:12.781Z,2454,聯發科,1760,-1710,-100,9714,1760,1870,1760,1710
2026-02-09T04:07:12.781Z,2457,飛宏,28.35,-27.75,-100,2615,28.35,28.85,28,27.75
2026-02-09T04:07:12.781Z,2485,兆赫,44.6,-41.45,-100,44995,44.6,45.2,39.8,41.45
2026-02-09T04:07:12.781Z,3481,群創,22.5,-21.8,-100,179482,22.5,22.5,21.3,21.8
2026-02-09T04:07:12.781Z,5340,建榮,101.5,-102,-100,15521,101.5,103,95.2,102
2026-02-09T04:07:12.781Z,5347,世界,123.5,-120,-100,50481,123.5,130,122.5,120
2026-02-09T04:07:12.781Z,5425,台半,62,-60.7,-100,1071,62,62.4,60.9,60.7
2026-02-09T04:07:12.781Z,6127,九豪,35.65,-35.25,-100,4057,35.65,36.45,34.7,35.25
2026-02-09T04:07:12.781Z,6182,合晶,34.85,-33.65,-100,3468,34.85,35.2,34.3,33.65
2026-02-09T04:07:12.781Z,6282,康舒,48.5,-46.85,-100,17938,48.5,49.45,47.45,46.85
2026-02-09T04:07:12.781Z,1303,南亞,76.9,-73.5,-100,89969,76.9,80.3,75.8,73.5
2026-02-09T04:07:12.781Z,1717,長興,56.3,-54.1,-100,11809,56.3,56.4,54.6,54.1
2026-02-09T04:07:12.781Z,1802,台玻,49,-47.6,-100,84260,49,49.4,44.55,47.6
2026-02-09T04:07:12.781Z,1809,中釉,24,-23.5,-100,1397,24,24.05,23.05,23.5
2026-02-09T04:07:12.781Z,1815,富喬,90.9,-87.6,-100,36023,90.9,91.2,88,87.6
2026-02-09T04:07:12.781Z,2059,川湖,3055,-2955,-100,431,3055,3055,2920,2955
2026-02-09T04:07:12.781Z,2303,聯電,62.6,0.7000000000000028,1.1308562197092131,107474,63.6,64.3,61.8,61.9
2026-02-09T04:07:12.781Z,2344,華邦電,107.5,9.700000000000003,9.918200408997958,148669,106,107.5,101,97.8
2026-02-09T04:07:12.781Z,2369,菱生,25.6,-24.6,-100,3455,25.6,25.8,25,24.6
2026-02-09T04:07:12.781Z,2371,大同,37.25,-36,-100,7528,37.25,37.25,36.45,36
